bn_id,personLabel,childLabel,date_value,year,date_prec,had_child_edtf,note,child,s,person,bn_dob_yr,bn_dod_yr,bn_dob,bn_dod,age,all_start_date,all_end_date,earliest,latest,start_age,last_age,latest_year,earliest_year
Q835,Emily Jane Climenson,,1869-01-01T00:00:00Z,1869,9,1869,,,Q835-20e3979b-4ef6-e7df-5eb7-ed5806967d80,https://beyond-notability.wikibase.cloud/entity/Q835,1844,1921,1844-05-15T00:00:00Z,1921-06-10T00:00:00Z,25,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1869-01-01T00:00:00Z,1873-01-01T00:00:00Z,25,29,1873,1869
Q835,Emily Jane Climenson,,1871-01-01T00:00:00Z,1871,9,1871,,,Q835-a9a3455c-468e-207a-33cb-8c347e57f8e4,https://beyond-notability.wikibase.cloud/entity/Q835,1844,1921,1844-05-15T00:00:00Z,1921-06-10T00:00:00Z,27,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1869-01-01T00:00:00Z,1873-01-01T00:00:00Z,25,29,1873,1869
Q835,Emily Jane Climenson,,1873-01-01T00:00:00Z,1873,9,1873,,,Q835-cc99ff11-4d22-cf74-bd2a-272450d86d92,https://beyond-notability.wikibase.cloud/entity/Q835,1844,1921,1844-05-15T00:00:00Z,1921-06-10T00:00:00Z,29,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1869-01-01T00:00:00Z,1873-01-01T00:00:00Z,25,29,1873,1869
Q1069,Emily Mary Chenevix Trench,,1876-01-01T00:00:00Z,1876,9,1876,,,Q1069-370bf5e4-4854-430c-69d3-0b025bdf0c63,https://beyond-notability.wikibase.cloud/entity/Q1069,1848,1919,1848-06-03T00:00:00Z,1919-10-03T00:00:00Z,28,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1876-01-01T00:00:00Z,1876-01-01T00:00:00Z,28,28,1876,1876
Q418,Emily Mary Pritchard,,1890-01-01T00:00:00Z,1890,9,1890,,,Q418-b0dbc7ec-455f-737d-07af-0d3dd5a10a8f,https://beyond-notability.wikibase.cloud/entity/Q418,1852,1914,1852-01-01T00:00:00Z,1914-01-01T00:00:00Z,38,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1890-01-01T00:00:00Z,1890-01-01T00:00:00Z,38,38,1890,1890
Q2276,Emily Smythies Machell Smith,,1870-01-01T00:00:00Z,1870,9,1870,,,Q2276-64937c67-4e49-58de-2742-dbbf0a2cccb4,https://beyond-notability.wikibase.cloud/entity/Q2276,1842,,1842-01-01T00:00:00Z,,28,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1870-01-01T00:00:00Z,1870-01-01T00:00:00Z,28,28,1870,1870
Q488,Emily Winifred Allen,,1851-01-01T00:00:00Z,1851,9,1851,,,Q488-c2c7c587-41c1-f5b2-ff26-f7785ea5da59,https://beyond-notability.wikibase.cloud/entity/Q488,1821,1917,1821-01-01T00:00:00Z,1917-01-01T00:00:00Z,30,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1851-01-01T00:00:00Z,1858-01-01T00:00:00Z,30,37,1858,1851
Q488,Emily Winifred Allen,,1852-01-01T00:00:00Z,1852,9,1852,,,Q488-85f31f57-410f-c71a-12ab-f58e6621b24b,https://beyond-notability.wikibase.cloud/entity/Q488,1821,1917,1821-01-01T00:00:00Z,1917-01-01T00:00:00Z,31,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1851-01-01T00:00:00Z,1858-01-01T00:00:00Z,30,37,1858,1851
Q488,Emily Winifred Allen,,1855-01-01T00:00:00Z,1855,9,1855,,,Q488-d35b1aac-4d93-ee24-c6df-34824dffae3a,https://beyond-notability.wikibase.cloud/entity/Q488,1821,1917,1821-01-01T00:00:00Z,1917-01-01T00:00:00Z,34,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1851-01-01T00:00:00Z,1858-01-01T00:00:00Z,30,37,1858,1851
Q488,Emily Winifred Allen,,1858-01-01T00:00:00Z,1858,9,1858,,,Q488-f3ea07ba-47b2-701b-821f-07592c7163bc,https://beyond-notability.wikibase.cloud/entity/Q488,1821,1917,1821-01-01T00:00:00Z,1917-01-01T00:00:00Z,37,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1851-01-01T00:00:00Z,1858-01-01T00:00:00Z,30,37,1858,1851
Q880,Emma Louisa Radford,,1885-01-01T00:00:00Z,1885,9,1885,,,Q880-089a4aac-4b00-cd3a-09e3-1fdab8f6e06d,https://beyond-notability.wikibase.cloud/entity/Q880,1857,1937,1857-01-01T00:00:00Z,1937-04-26T00:00:00Z,28,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1885-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,37,1894,1885
Q880,Emma Louisa Radford,,1887-01-01T00:00:00Z,1887,9,1887,,,Q880-37242d9f-4a45-a910-65bb-296c2b87aeb7,https://beyond-notability.wikibase.cloud/entity/Q880,1857,1937,1857-01-01T00:00:00Z,1937-04-26T00:00:00Z,30,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1885-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,37,1894,1885
